Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,US,US_SUM
1917,N/A,2361000,1737000,311000,3171000,910000,1327000,385000,222000,895000,2885000,N/A,2382000,413000,6313000,2910000,1748000,2421000,1795000,3738000,1428000,777000,3451000,2329000,3470000,1820000,505000,2546000,661000,1285000,447000,2976000,361000,81000,9993000,5510000,1960000,763000,8578000,606000,1675000,599000,2331000,4563000,444000,2313000,372000,1287000,2587000,1439000,186000,103266000,103267000
1918,N/A,2343000,1749000,320000,3262000,906000,1329000,418000,220000,865000,2941000,N/A,2351000,405000,6275000,2880000,1729000,2425000,1746000,3695000,1467000,760000,3499000,2291000,3325000,1813000,501000,2522000,636000,1266000,440000,3043000,382000,77000,9936000,5547000,1969000,763000,8524000,604000,1746000,570000,2288000,4666000,437000,2359000,352000,1341000,2597000,1438000,181000,103203000,103199000
1919,N/A,2337000,1742000,329000,3339000,938000,1359000,445000,221000,898000,2870000,N/A,2379000,424000,6392000,2906000,1756000,2413000,1756000,3785000,1445000,762000,3591000,2346000,3371000,1790000,534000,2535000,648000,1290000,443000,3136000,362000,77000,10252000,5683000,2003000,774000,8643000,603000,1687000,606000,2305000,4631000,446000,2318000,352000,1333000,2600000,1464000,191000,104512000,104510000
1920,N/A,2359000,1756000,340000,3554000,937000,1391000,440000,219000,962000,2926000,N/A,2400000,433000,6663000,2947000,1769000,2421000,1813000,3882000,1464000,771000,3723000,2403000,3404000,1800000,543000,2588000,646000,1300000,444000,3198000,363000,78000,10282000,5799000,2055000,788000,8740000,613000,1685000,640000,2329000,4723000,453000,2347000,353000,1373000,2679000,1470000,197000,106466000,106463000
1921,N/A,2402000,1769000,351000,3795000,961000,1415000,446000,216000,997000,2965000,N/A,2407000,435000,6858000,2976000,1779000,2436000,1847000,3951000,1492000,775000,3872000,2434000,3429000,1823000,546000,2651000,646000,1309000,449000,3297000,370000,80000,10416000,5921000,2108000,798000,8900000,629000,1693000,652000,2369000,4853000,457000,2395000,355000,1405000,2722000,1485000,203000,108541000,108540000
1922,N/A,2434000,1772000,360000,3991000,965000,1431000,450000,214000,1044000,2965000,N/A,2428000,436000,6958000,2965000,1799000,2450000,1871000,4010000,1509000,778000,3942000,2451000,3437000,1836000,543000,2700000,647000,1312000,451000,3380000,375000,81000,10589000,6054000,2140000,814000,8982000,644000,1692000,660000,2424000,4955000,467000,2412000,354000,1415000,2761000,1498000,208000,110055000,110054000
1923,N/A,2464000,1784000,371000,4270000,984000,1455000,453000,215000,1097000,2954000,N/A,2425000,436000,7068000,3042000,1808000,2480000,1903000,4057000,1521000,781000,4063000,2487000,3454000,1858000,538000,2761000,648000,1321000,453000,3472000,382000,82000,10752000,6183000,2159000,833000,9148000,656000,1699000,669000,2463000,5077000,474000,2423000,354000,1433000,2803000,1526000,211000,111950000,111950000
1924,N/A,2501000,1800000,382000,4541000,1014000,1481000,456000,219000,1160000,2920000,N/A,2420000,434000,7215000,3086000,1807000,2531000,1939000,4102000,1537000,788000,4214000,2521000,3508000,1886000,538000,2830000,642000,1333000,457000,3573000,390000,84000,10953000,6319000,2179000,856000,9383000,669000,1710000,673000,2502000,5210000,481000,2426000,355000,1467000,2833000,1577000,215000,114113000,114117000
1925,N/A,2534000,1812000,393000,4730000,1019000,1506000,461000,222000,1264000,2883000,N/A,2427000,436000,7306000,3119000,1825000,2520000,1972000,4154000,1556000,792000,4331000,2540000,3526000,1910000,535000,2895000,643000,1343000,459000,3664000,396000,85000,11186000,6434000,2216000,883000,9478000,680000,1718000,682000,2531000,5332000,487000,2423000,355000,1494000,2863000,1593000,216000,115832000,115829000
1926,N/A,2567000,1826000,403000,4929000,1016000,1531000,469000,225000,1368000,2869000,N/A,2432000,441000,7395000,3148000,1836000,2545000,2005000,4194000,1576000,793000,4451000,2560000,3556000,1935000,531000,2959000,651000,1353000,463000,3758000,403000,87000,11257000,6504000,2256000,905000,9594000,681000,1726000,683000,2553000,5453000,494000,2419000,356000,1516000,2892000,1623000,217000,117399000,117404000
1927,N/A,2609000,1840000,414000,5147000,1028000,1557000,476000,229000,1418000,2891000,N/A,2441000,447000,7519000,3191000,1836000,2551000,2039000,4223000,1599000,796000,4589000,2588000,3576000,1962000,527000,3027000,657000,1365000,466000,3891000,410000,88000,11174000,6577000,2306000,925000,9745000,677000,1736000,682000,2608000,5577000,500000,2433000,357000,1538000,2916000,1671000,219000,119038000,119038000
1928,N/A,2640000,1847000,422000,5344000,1014000,1577000,479000,233000,1433000,2903000,N/A,2450000,449000,7576000,3212000,1850000,2567000,2064000,4217000,1610000,797000,4665000,2592000,3601000,1981000,541000,3082000,665000,1371000,468000,3968000,416000,89000,11599000,6608000,2344000,936000,9802000,678000,1739000,685000,2624000,5675000,504000,2435000,358000,1551000,2923000,1696000,220000,120501000,120500000
1929,N/A,2644000,1852000,430000,5531000,1008000,1594000,483000,236000,1445000,2903000,N/A,2460000,447000,7606000,3226000,1867000,2606000,2086000,4229000,1621000,797000,4795000,2572000,3622000,1998000,524000,3133000,674000,1375000,467000,3989000,420000,90000,12171000,6626000,2372000,947000,9723000,684000,1739000,690000,2604000,5762000,508000,2425000,359000,1555000,2934000,1717000,223000,121770000,121769000
1930,N/A,2647000,1859000,434000,5711000,1040000,1613000,488000,239000,1471000,2910000,N/A,2475000,447000,7644000,3242000,1883000,2623000,2105000,4250000,1636000,800000,4834000,2576000,3646000,2006000,539000,3167000,682000,1380000,466000,4068000,427000,92000,12647000,6662000,2401000,956000,9649000,686000,1745000,693000,2619000,5844000,509000,2427000,360000,1568000,2950000,1733000,226000,123077000,123075000
1931,N/A,2649000,1848000,429000,5824000,1056000,1628000,504000,242000,1493000,2924000,N/A,2482000,454000,7687000,3257000,1881000,2652000,2124000,4248000,1657000,807000,4798000,2614000,3711000,1994000,540000,3184000,680000,1384000,470000,4120000,436000,94000,12848000,6694000,2403000,966000,9707000,681000,1753000,694000,2657000,5907000,513000,2445000,359000,1581000,2990000,1740000,229000,124040000,124038000
1932,N/A,2653000,1836000,426000,5894000,1066000,1637000,513000,245000,1521000,2935000,N/A,2489000,459000,7736000,3281000,1883000,2676000,2155000,4259000,1678000,815000,4780000,2646000,3746000,2004000,540000,3227000,676000,1386000,474000,4120000,441000,96000,13001000,6717000,2394000,972000,9764000,677000,1748000,692000,2711000,5961000,517000,2452000,358000,1584000,3021000,1747000,230000,124840000,124839000
1933,N/A,2661000,1854000,426000,5963000,1071000,1642000,529000,248000,1552000,2950000,N/A,2495000,464000,7768000,3304000,1877000,2698000,2178000,4282000,1694000,821000,4780000,2673000,3773000,2031000,541000,3268000,674000,1385000,477000,4107000,449000,96000,13126000,6740000,2392000,978000,9784000,675000,1752000,690000,2747000,6014000,520000,2460000,357000,1592000,3040000,1752000,230000,125579000,125580000
1934,N/A,2685000,1878000,428000,6060000,1075000,1650000,568000,250000,1585000,2964000,N/A,2510000,473000,7772000,3319000,1868000,2722000,2202000,4305000,1710000,829000,4798000,2695000,3784000,2050000,545000,3304000,672000,1382000,480000,4089000,461000,98000,13253000,6751000,2391000,985000,9795000,675000,1760000,682000,2784000,6053000,522000,2485000,357000,1610000,3054000,1771000,233000,126374000,126372000
1935,N/A,2719000,1890000,434000,6175000,1078000,1666000,608000,252000,1613000,2955000,N/A,2524000,481000,7797000,3332000,1872000,2748000,2228000,4343000,1729000,836000,4838000,2717000,3798000,2061000,550000,3323000,670000,1375000,481000,4085000,475000,100000,13375000,6787000,2386000,1001000,9774000,678000,1769000,674000,2798000,6123000,526000,2520000,357000,1629000,3070000,1794000,237000,127250000,127251000
1936,N/A,2743000,1892000,443000,6341000,1090000,1672000,629000,253000,1651000,2978000,N/A,2509000,495000,7840000,3348000,1869000,2768000,2246000,4355000,1745000,840000,4889000,2734000,3801000,2072000,554000,3346000,664000,1358000,481000,4084000,489000,101000,13481000,6801000,2365000,1025000,9767000,686000,1781000,666000,2791000,6192000,527000,2552000,357000,1653000,3082000,1808000,240000,128053000,128054000
1937,N/A,2762000,1903000,453000,6528000,1104000,1678000,616000,254000,1709000,3037000,N/A,2498000,507000,7857000,3374000,1856000,2784000,2257000,4358000,1754000,842000,4968000,2746000,3794000,2086000,554000,3385000,655000,1339000,481000,4088000,503000,103000,13511000,6809000,2334000,1048000,9790000,694000,1802000,656000,2795000,6250000,529000,2590000,356000,1681000,3088000,1813000,243000,128825000,128822000
1938,N/A,2787000,1928000,466000,6656000,1112000,1684000,638000,257000,1771000,3091000,N/A,2494000,513000,7866000,3386000,1842000,2800000,2285000,4365000,1766000,843000,5056000,2753000,3781000,2127000,552000,3440000,647000,1326000,485000,4100000,513000,105000,13512000,6837000,2324000,1067000,9952000,694000,1834000,649000,2821000,6301000,535000,2638000,356000,1698000,3098000,1828000,246000,129825000,129825000
1939,N/A,2814000,1948000,484000,6785000,1120000,1696000,658000,263000,1836000,3120000,N/A,2520000,521000,7890000,3403000,1824000,2825000,2334000,4347000,1793000,846000,5156000,2771000,3783000,2168000,555000,3514000,644000,1318000,490000,4129000,523000,107000,13523000,6886000,2333000,1081000,9901000,701000,1872000,645000,2874000,6360000,543000,2670000,358000,1715000,3121000,1868000,248000,130880000,130884000
1940,N/A,2845000,1955000,499000,6950000,1130000,1708000,690000,269000,1915000,3119000,N/A,2537000,522000,7905000,3433000,1788000,2859000,2370000,4318000,1839000,849000,5315000,2790000,3786000,2176000,558000,3574000,640000,1316000,492000,4175000,531000,113000,13456000,6929000,2325000,1086000,9896000,719000,1902000,641000,2935000,6425000,552000,2720000,363000,1740000,3143000,1907000,250000,131954000,131955000
1941,N/A,2902000,1969000,490000,7237000,1124000,1746000,764000,275000,2017000,3179000,N/A,2491000,501000,7995000,3483000,1765000,2824000,2484000,4389000,1913000,852000,5472000,2718000,3811000,2184000,543000,3589000,615000,1272000,490000,4254000,506000,120000,13267000,6958000,2262000,1071000,9911000,731000,1962000,613000,2973000,6585000,551000,2855000,348000,1789000,3140000,1885000,247000,133121000,133122000
1942,N/A,2941000,1977000,524000,7735000,1113000,1792000,851000,279000,2151000,3209000,N/A,2439000,478000,8057000,3507000,1760000,2797000,2546000,4370000,1998000,839000,5549000,2662000,3829000,2210000,518000,3569000,583000,1239000,481000,4297000,502000,137000,13002000,6969000,2215000,1107000,9704000,748000,2007000,589000,2939000,6711000,575000,3038000,343000,1901000,3053000,1831000,251000,133920000,133922000
1943,N/A,2902000,1843000,692000,8506000,1153000,1792000,900000,282000,2451000,3245000,N/A,2334000,500000,7761000,3449000,1796000,2693000,2565000,4257000,2089000,806000,5405000,2577000,3705000,2280000,485000,3654000,546000,1241000,462000,4226000,534000,151000,12807000,6868000,2205000,1221000,9444000,760000,1967000,587000,2972000,7012000,631000,3130000,327000,2027000,3014000,1741000,247000,134245000,134242000
1944,N/A,2802000,1768000,610000,8945000,1137000,1778000,881000,285000,2420000,3176000,N/A,2301000,529000,7719000,3440000,1779000,2631000,2508000,4192000,2118000,801000,5467000,2526000,3560000,2167000,469000,3560000,534000,1216000,456000,4158000,527000,153000,12628000,6918000,2043000,1233000,9214000,795000,1943000,565000,2868000,6876000,605000,3248000,314000,2092000,2980000,1706000,242000,132885000,132883000
1945,N/A,2775000,1762000,594000,9344000,1116000,1769000,876000,286000,2465000,3119000,N/A,2308000,507000,7601000,3427000,1731000,2597000,2429000,4201000,2096000,800000,5475000,2537000,3516000,2090000,477000,3533000,546000,1211000,459000,4108000,537000,149000,12495000,6916000,2028000,1250000,9143000,776000,1934000,579000,2878000,6826000,591000,3193000,315000,2206000,2961000,1708000,239000,132481000,132479000
1946,N/A,2911000,1797000,616000,9559000,1203000,1906000,899000,299000,2440000,3242000,N/A,2467000,509000,8155000,3702000,1805000,2761000,2556000,4494000,2214000,832000,5874000,2734000,3746000,2064000,514000,3706000,570000,1256000,494000,4492000,561000,143000,13398000,7512000,2128000,1338000,9866000,770000,1936000,588000,3074000,7197000,638000,3212000,342000,2288000,3167000,1826000,254000,140054000,140055000
1947,N/A,2942000,1836000,653000,9832000,1237000,1967000,888000,305000,2528000,3272000,N/A,2509000,522000,8341000,3779000,1853000,2803000,2579000,4580000,2248000,854000,6076000,2796000,3845000,2107000,531000,3769000,578000,1265000,507000,4618000,582000,149000,13982000,7705000,2133000,1361000,10196000,776000,1992000,601000,3166000,7388000,636000,3201000,354000,2211000,3250000,1883000,258000,143446000,143444000
1948,N/A,2969000,1825000,690000,10064000,1263000,2014000,840000,312000,2578000,3259000,N/A,2543000,551000,8552000,3877000,1892000,2817000,2596000,4674000,2271000,878000,6213000,2868000,3844000,2076000,542000,3837000,580000,1265000,520000,4774000,604000,156000,14497000,7876000,2089000,1405000,10287000,787000,1996000,612000,3216000,7626000,653000,3207000,359000,2255000,3314000,1899000,269000,146093000,146091000
1949,N/A,3000000,1844000,714000,10337000,1295000,2032000,807000,316000,2668000,3325000,N/A,2578000,570000,8670000,3958000,1925000,2849000,2634000,4741000,2329000,903000,6332000,2935000,3882000,2085000,569000,3911000,597000,1302000,533000,4889000,644000,157000,14892000,7973000,2105000,1431000,10390000,801000,2029000,631000,3236000,7623000,671000,3292000,369000,2294000,3391000,1930000,277000,148665000,148666000
1950,N/A,3062000,1910000,750000,10586000,1325000,2007000,802000,318000,2771000,3445000,N/A,2621000,589000,8712000,3934000,1905000,2945000,2684000,4691000,2343000,914000,6372000,2982000,3955000,2179000,591000,4062000,620000,1326000,533000,4835000,681000,160000,14830000,7947000,2233000,1521000,10498000,792000,2117000,653000,3292000,7711000,689000,3319000,378000,2379000,3435000,2006000,291000,151326000,151330000
1951,N/A,3059000,1901000,785000,11134000,1326000,2028000,808000,331000,2980000,3531000,N/A,2617000,589000,8790000,4096000,1950000,2941000,2769000,4654000,2441000,916000,6497000,3010000,4015000,2163000,596000,4120000,604000,1316000,529000,5006000,717000,168000,14890000,8061000,2210000,1556000,10461000,784000,2167000,655000,3372000,8111000,706000,3434000,378000,2424000,3439000,1984000,291000,153982000,153982000
1952,N/A,3068000,1838000,842000,11635000,1365000,2081000,805000,341000,3157000,3584000,N/A,2626000,587000,8956000,4148000,1977000,2920000,2842000,4650000,2500000,915000,6650000,3030000,3972000,2152000,602000,4109000,608000,1311000,535000,5125000,735000,181000,15192000,8275000,2219000,1582000,10503000,802000,2178000,651000,3352000,8314000,724000,3504000,375000,2448000,3469000,1957000,293000,156393000,156391000
1953,N/A,3053000,1780000,894000,12251000,1431000,2168000,810000,351000,3310000,3558000,N/A,2629000,596000,9065000,4182000,1994000,2903000,2866000,4806000,2567000,913000,6822000,3050000,4020000,2105000,616000,4120000,609000,1318000,547000,5229000,756000,195000,15527000,8591000,2182000,1601000,10662000,815000,2181000,648000,3319000,8336000,739000,3557000,379000,2466000,3506000,1929000,290000,158956000,158957000
1954,N/A,3014000,1734000,933000,12746000,1493000,2249000,791000,368000,3505000,3602000,N/A,2626000,600000,9252000,4264000,2042000,2902000,2883000,4910000,2685000,927000,7066000,3113000,4066000,2064000,624000,4131000,611000,1340000,554000,5360000,763000,213000,15814000,8873000,2209000,1626000,10817000,816000,2176000,655000,3359000,8382000,750000,3555000,377000,2516000,3608000,1905000,293000,161884000,161882000
1955,N/A,3050000,1725000,987000,13133000,1546000,2300000,785000,389000,3747000,3636000,N/A,2679000,618000,9435000,4363000,2093000,2910000,2946000,4882000,2742000,934000,7285000,3172000,4134000,2060000,636000,4242000,615000,1374000,557000,5502000,785000,237000,15966000,9017000,2250000,1659000,10939000,823000,2200000,663000,3415000,8660000,783000,3588000,375000,2604000,3679000,1880000,307000,165069000,165068000
1956,N/A,3071000,1704000,1053000,13713000,1625000,2316000,759000,408000,4047000,3701000,N/A,2703000,628000,9530000,4458000,2119000,2898000,3032000,4891000,2811000,938000,7467000,3240000,4163000,2086000,656000,4309000,613000,1397000,566000,5615000,806000,250000,16112000,9207000,2273000,1698000,10972000,840000,2229000,670000,3415000,8830000,809000,3722000,377000,2668000,3742000,1857000,312000,168088000,168089000
1957,N/A,3109000,1733000,1125000,14264000,1664000,2359000,763000,426000,4372000,3766000,N/A,2716000,642000,9668000,4529000,2128000,2928000,3115000,4929000,2873000,943000,7569000,3274000,4189000,2088000,667000,4368000,612000,1394000,572000,5737000,847000,260000,16374000,9410000,2282000,1712000,10954000,851000,2274000,666000,3434000,9070000,826000,3844000,376000,2724000,3791000,1843000,314000,171187000,171189000
1958,N/A,3163000,1726000,1193000,14880000,1667000,2446000,757000,433000,4630000,3804000,N/A,2708000,646000,9886000,4583000,2142000,2961000,3155000,5010000,2982000,944000,7667000,3313000,4186000,2086000,666000,4376000,606000,1383000,581000,5890000,886000,269000,16601000,9599000,2267000,1718000,11058000,858000,2304000,656000,3471000,9252000,845000,3914000,380000,2773000,3843000,1845000,315000,174149000,174153000
1959,224000,3204000,1756000,1261000,15467000,1710000,2523000,761000,441000,4808000,3868000,622000,2729000,657000,9986000,4613000,2160000,2999000,3208000,5117000,3066000,957000,7767000,3366000,4258000,2138000,669000,4458000,618000,1397000,596000,6015000,919000,279000,16685000,9671000,2289000,1746000,11234000,857000,2348000,667000,3522000,9405000,870000,3951000,387000,2821000,3891000,1855000,320000,177135000,177136000
1960,226000,3267000,1786000,1302000,15717000,1754000,2535000,764000,446000,4952000,3943000,633000,2758000,667000,10081000,4662000,2179000,3038000,3257000,5149000,3101000,969000,7823000,3414000,4320000,2178000,675000,4556000,632000,1411000,607000,6067000,951000,285000,16782000,9706000,2328000,1769000,11319000,859000,2383000,681000,3567000,9580000,891000,3967000,390000,2853000,3952000,1860000,330000,179323000,179322000
1961,238000,3316000,1806000,1407000,16497000,1844000,2586000,778000,461000,5243000,4015000,659000,2756000,684000,10130000,4730000,2215000,3054000,3287000,5219000,3176000,995000,7893000,3470000,4349000,2206000,696000,4663000,641000,1446000,618000,6265000,965000,315000,17061000,9854000,2380000,1787000,11392000,858000,2409000,693000,3622000,9820000,936000,4095000,390000,2882000,4009000,1828000,337000,182973000,182976000
1962,246000,3323000,1853000,1471000,17072000,1899000,2647000,788000,469000,5458000,4086000,684000,2750000,692000,10280000,4736000,2231000,3079000,3345000,5263000,3263000,994000,7933000,3513000,4357000,2243000,698000,4707000,637000,1464000,632000,6376000,979000,352000,17301000,9929000,2427000,1818000,11355000,871000,2423000,705000,3673000,10053000,958000,4180000,393000,2942000,4049000,1809000,333000,185738000,185739000
1963,256000,3358000,1875000,1521000,17668000,1936000,2727000,798000,483000,5628000,4172000,682000,2747000,683000,10402000,4799000,2217000,3096000,3377000,5344000,3386000,993000,8058000,3531000,4392000,2244000,703000,4742000,644000,1476000,649000,6531000,989000,397000,17461000,9986000,2439000,1853000,11424000,876000,2460000,708000,3718000,10159000,974000,4276000,397000,2955000,4112000,1796000,336000,188438000,188434000
1964,263000,3395000,1897000,1556000,18151000,1970000,2798000,798000,497000,5781000,4258000,700000,2746000,680000,10580000,4856000,2209000,3129000,3446000,5448000,3492000,993000,8187000,3558000,4442000,2241000,706000,4802000,649000,1482000,663000,6660000,1006000,426000,17589000,10080000,2446000,1888000,11519000,885000,2475000,701000,3771000,10270000,978000,4357000,399000,2961000,4165000,1797000,339000,191085000,191085000
1965,271000,3443000,1894000,1584000,18585000,1985000,2857000,797000,507000,5954000,4332000,704000,2742000,686000,10693000,4922000,2206000,3140000,3496000,5502000,3600000,997000,8357000,3592000,4467000,2246000,706000,4863000,649000,1471000,676000,6767000,1012000,444000,17734000,10201000,2440000,1937000,11620000,893000,2494000,692000,3798000,10378000,994000,4411000,404000,2967000,4232000,1786000,332000,193460000,193460000
1966,271000,3464000,1899000,1614000,18858000,2007000,2903000,791000,516000,6104000,4379000,710000,2762000,689000,10836000,4999000,2200000,3147000,3550000,5535000,3695000,999000,8512000,3617000,4523000,2245000,707000,4896000,647000,1456000,681000,6851000,1007000,446000,17843000,10330000,2454000,1969000,11664000,899000,2520000,683000,3822000,10492000,1009000,4456000,413000,3057000,4274000,1775000,323000,195501000,195499000
1967,278000,3458000,1901000,1646000,19176000,2053000,2935000,791000,525000,6242000,4408000,723000,2793000,688000,10947000,5053000,2197000,3172000,3581000,5594000,3757000,1004000,8630000,3659000,4539000,2228000,701000,4952000,626000,1457000,697000,6928000,1000000,449000,17935000,10414000,2489000,1979000,11681000,909000,2533000,671000,3859000,10599000,1019000,4508000,423000,3174000,4303000,1769000,322000,197374000,197375000
