Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,US,US_SUM
1968,285000,3446000,1902000,1682000,19394000,2120000,2964000,778000,534000,6433000,4482000,734000,2803000,695000,10995000,5093000,2216000,3195000,3603000,5618000,3815000,994000,8696000,3703000,4568000,2219000,700000,5004000,621000,1467000,709000,7005000,994000,464000,18051000,10516000,2503000,2004000,11741000,922000,2559000,669000,3878000,10819000,1029000,4558000,430000,3270000,4345000,1763000,324000,199312000,199312000
1969,296000,3440000,1913000,1737000,19711000,2166000,3000000,762000,540000,6641000,4551000,750000,2805000,707000,11039000,5143000,2236000,3198000,3619000,5650000,3868000,992000,8781000,3758000,4640000,2220000,694000,5031000,621000,1474000,724000,7095000,1011000,480000,18105000,10563000,2535000,2062000,11741000,932000,2570000,668000,3897000,11045000,1047000,4614000,437000,3343000,4378000,1746000,329000,201306000,201305000
1970,302583,3444354,1923322,1775399,19971069,2209596,3032217,756668,548104,6791418,4587930,769913,2825368,713015,11110285,5195392,2249071,3220711,3644637,5689170,3923897,993722,8881826,3806103,4677623,2216994,694409,5084411,617792,1485333,737681,7171112,1017055,488738,18241391,10657423,2559463,2091533,11800766,949723,2590713,666257,3926018,11198655,1059273,4651448,444732,3413244,4417821,1744237,332416,203302031,203302031
1971,315510,3497076,1972312,1895814,20345939,2303524,3060938,749781,564708,7158304,4711550,801644,2851705,738753,11202397,5253396,2246600,3298053,3710487,5737580,4018324,1015390,8974186,3853486,4725764,2265432,710814,5203531,626760,1504604,761851,7281107,1053737,520018,18357982,10734818,2618601,2151022,11886400,963107,2662269,671297,4013608,11509848,1101192,4750838,454318,3447553,4462155,1770657,340285,206827026,206827025
1972,324464,3539400,2018638,2008291,20585469,2404619,3068699,742241,572913,7511463,4809490,828331,2860287,763237,11251948,5302435,2256375,3335728,3761646,5760302,4073499,1034292,9028944,3869747,4758780,2307117,718732,5301150,631119,1519013,781107,7335042,1078697,546789,18339400,10746993,2658646,2197297,11908233,974790,2719197,677234,4094611,11759148,1135449,4824472,463143,3447885,4502412,1797648,347345,209283905,209283907
1973,330543,3579780,2059256,2124438,20868728,2495868,3067814,731488,577759,7913696,4910374,851595,2863715,782074,11251367,5338277,2265603,3371024,3788375,5781172,4097974,1045655,9077956,3889332,4782645,2349546,726798,5389852,632675,1529567,800951,7333083,1105529,568991,18177063,10767314,2695931,2241932,11890527,975738,2776605,678715,4147401,12019543,1170040,4901292,468430,3478782,4524244,1806360,354061,211357481,211357478
1974,341063,3626499,2101403,2223196,21173865,2541406,3074047,717947,581418,8298762,4999419,867978,2867530,807990,11262145,5361890,2269499,3416315,3820109,5773548,4118815,1059040,9117507,3903925,4795930,2378268,736419,5470911,634559,1539191,815914,7332411,1131309,596822,18049775,10765759,2734768,2285013,11870884,950615,2844749,679585,4213509,12268629,1200471,4971069,473002,3549946,4545782,1815447,365501,213341554,213341554
1975,376170,3678814,2159526,2284847,21537849,2586192,3082500,706871,586589,8518422,5064075,886160,2880847,831982,11291743,5365766,2280578,3467769,3886104,5757756,4139096,1071995,9117668,3932515,4808308,2399449,748208,5547188,638886,1543117,828555,7337765,1159944,619972,18003485,10770425,2774683,2329661,11906095,942788,2902028,681042,4275566,12568843,1236030,5047395,479713,3621339,4578986,1842250,381695,215465255,215465250
1976,400969,3735139,2170161,2346157,21935909,2632306,3083335,692295,590166,8667379,5132812,904191,2903082,856983,11342853,5389088,2301001,3529257,3950605,5743672,4150539,1088412,9129205,3964680,4839029,2429756,757317,5607964,645797,1550911,845248,7339745,1189295,646975,17940541,10752662,2826815,2378262,11897378,946089,2943657,686390,4346928,12904089,1274928,5121863,484928,3693610,4595904,1879503,396952,217562735,217562732
1977,403436,3780403,2209010,2425197,22352396,2696140,3085722,677228,591829,8856183,5219697,918259,2913573,883469,11386316,5425638,2320647,3573693,4014459,5738199,4169595,1103578,9171110,3989364,4863173,2459201,769953,5685607,649769,1556842,869763,7337169,1215720,678333,17812602,10771394,2870014,2446673,11893591,950230,2991681,688480,4422921,13193050,1319512,5193112,491931,3776050,4626514,1908088,413354,219759869,219759868
1978,404766,3831836,2243127,2515316,22835958,2766748,3091627,665052,594776,9102032,5295751,931584,2918069,910690,11412561,5470214,2335657,3609976,4068579,5736469,4183603,1113566,9217761,4015341,4889399,2487816,782317,5759492,651301,1563884,891520,7350804,1238034,719436,17680589,10795581,2917336,2518298,11879396,951816,3044364,688580,4486314,13500429,1367510,5270240,498109,3889073,4646108,1923395,432880,222095080,222095080
1979,402753,3866248,2271333,2635571,23256880,2849234,3095917,650016,594984,9426159,5401384,953306,2915739,932627,11396837,5501174,2350906,3641804,4137665,5738404,4191160,1122563,9266268,4050316,4912430,2507069,787305,5823491,652896,1567344,909074,7366512,1284722,765367,17583838,10798298,2975310,2588012,11887975,950382,3090267,688335,4560473,13888371,1420238,5307945,505372,4017632,4682811,1942146,454378,224567241,224567241
1980,401851,3893888,2286435,2718215,23667902,2889964,3107576,638333,594338,9746324,5463105,964691,2913808,943935,11426518,5490224,2363679,3660777,4205900,5737037,4216975,1124660,9262078,4075970,4916686,2520638,786690,5881766,652717,1569825,920610,7364823,1302894,800493,17558072,10797630,3025290,2633105,11863895,947154,3121820,690768,4591120,14229191,1461037,5346818,511456,4132156,4705767,1949644,469557,226545805,226545805
1981,418491,3918531,2293201,2810107,24285933,2977898,3128836,636893,595975,10192774,5568345,978195,2907983,962204,11443458,5480435,2384849,3670394,4283303,5768685,4261905,1133033,9209287,4111728,4932064,2539036,795328,5956653,659505,1578515,936621,7407472,1332748,847655,17567734,10788330,3096164,2667982,11858567,953013,3179255,689584,4627658,14746318,1515471,5444097,515594,4235731,4726343,1954124,491712,229465714,229465717
1982,449606,3925266,2294257,2889861,24820009,3061564,3139013,634174,599148,10471407,5649792,993780,2888189,973721,11423412,5467922,2401202,3683445,4352608,5771222,4282923,1136684,9115198,4131450,4929451,2556777,803986,6019101,668972,1581780,947719,7430968,1363823,881537,17589738,10757087,3206123,2664922,11845146,954170,3207614,690597,4646041,15331415,1558314,5492783,519109,4276552,4728870,1949604,506400,231664458,231664452
1983,488417,3934102,2305761,2968925,25360026,3133630,3162354,632433,605458,10749851,5728250,1012717,2870543,981869,11408818,5450395,2415531,3694484,4395316,5799407,4313327,1144772,9047754,4141456,4943733,2567717,814031,6077056,676688,1584293,958134,7467785,1394361,901977,17686905,10737632,3290402,2653066,11837723,956382,3234066,693008,4659749,15751676,1594943,5564657,523302,4300266,4721438,1945061,510345,233791994,233791992
1984,513702,3951820,2319768,3067135,25844393,3169992,3180014,633382,611565,11039925,5834954,1027922,2858618,990839,11412132,5458322,2424086,3695453,4400477,5840773,4365243,1155635,9049452,4157706,4975278,2578051,820905,6164006,680497,1588639,976864,7515473,1416717,924922,17745684,10737746,3285533,2666588,11815172,961894,3271868,697249,4686737,16007086,1622342,5643870,526660,4343656,4735563,1927697,504896,235824902,235824901
1985,532495,3972523,2327046,3183538,26441109,3208723,3201131,634549,618280,11351118,5962661,1039698,2829684,994051,11399806,5459211,2427405,3694826,4408118,5880733,4413071,1162936,9076293,4184302,5000268,2588102,822320,6253954,676980,1584664,996753,7565528,1438361,951030,17791672,10734926,3271332,2672652,11770862,968955,3303209,698402,4715296,16272734,1642910,5715153,530035,4400098,4747767,1906831,499695,237923795,237923796
1986,544268,3991569,2331984,3308262,27102237,3237450,3223740,638269,627559,11667505,6084666,1051762,2791970,990224,11387257,5454108,2432619,3687809,4406919,5902678,4486957,1170126,9127775,4205212,5023068,2593597,813739,6321578,669512,1574333,1025053,7622159,1462729,980613,17833419,10730268,3252735,2683528,11782752,977341,3342758,696034,4738708,16561113,1662834,5811700,534066,4452720,4755618,1882350,495633,240132887,240132883
1987,539309,4015264,2342355,3437103,27777158,3260480,3247291,636930,636947,11997283,6208467,1067918,2767011,984997,11391178,5473012,2445367,3683329,4344148,5935204,4565557,1184574,9187481,4235136,5056696,2588545,805063,6403700,661136,1566547,1054289,7670742,1478520,1023376,17868848,10760090,3210122,2700991,11810866,989604,3380506,696036,4782927,16621791,1678119,5932268,540267,4531901,4777919,1857585,476965,242288918,242288918
1988,541983,4023844,2342656,3535183,28464249,3262281,3271953,630432,647622,12306395,6316142,1079828,2768388,985664,11390183,5491735,2461996,3679999,4288863,5979982,4657904,1203840,9217998,4296166,5081736,2580352,800202,6480594,655331,1571477,1082577,7712333,1490337,1075022,17941309,10798552,3167057,2741297,11845752,996408,3412096,698165,4822437,16667022,1689372,6036909,549763,4639893,4822388,1830215,465101,244498982,244498983
1989,547159,4030222,2346358,3622185,29218164,3275818,3283403,624168,658273,12637715,6411099,1094588,2770592,994416,11409782,5523693,2472849,3677306,4252894,6015478,4727301,1219961,9253295,4338057,5095830,2574269,799636,6565459,646351,1574864,1104522,7726089,1503901,1137382,17983086,10829217,3150307,2790575,11865996,1000666,3456775,696701,4854444,16806735,1705864,6120246,557707,4746316,4856574,1806568,458374,246819230,246819230
1990,550043,4040587,2350725,3665228,29760021,3294394,3287116,606900,666168,12937926,6478216,1108229,2776755,1006749,11430602,5544159,2477574,3685296,4219973,6016425,4781468,1227928,9295297,4375099,5117073,2573216,799065,6628637,638800,1578385,1109252,7730188,1515069,1201833,17990455,10847115,3145585,2842321,11881643,1003464,3486703,696004,4877185,16986510,1722850,6187358,562758,4866692,4891769,1793477,453588,248709873,248709873
1991,570193,4099156,2383144,3788576,30470736,3387119,3302895,600870,683080,13369798,6653005,1136754,2797613,1041316,11568964,5616388,2498722,3722328,4253279,6018470,4867641,1237081,9400446,4440859,5170800,2598733,809680,6784280,635753,1595919,1109929,7814676,1555305,1296171,18122510,10945762,3175440,2928507,11982164,1010649,3570404,703669,4966587,17398005,1779780,6301217,568606,5025624,4964343,1798735,459260,252980941,252980941
1992,588736,4154014,2415984,3915740,30974659,3495939,3300712,597565,694925,13650553,6817203,1158613,2818401,1071685,11694184,5674547,2532394,3765469,4293003,6028709,4923368,1238508,9479065,4495572,5217101,2623734,825770,6897214,638223,1611687,1117784,7880508,1595442,1351367,18246653,11029431,3220517,2991755,12049450,1012581,3620464,712801,5049742,17759738,1836799,6414307,572751,5160757,5025398,1806451,466251,256514224,256514224
1993,599432,4214202,2456303,4065440,31274928,3613734,3309175,595301,706378,13927185,6978240,1172838,2836972,1108768,11809579,5739019,2556547,3812206,4316428,6060569,4971889,1242302,9540114,4555954,5271175,2655100,844761,7042818,641216,1625590,1129458,7948915,1636453,1411215,18374954,11101140,3252285,3060367,12119724,1015112,3663314,722159,5137584,18161612,1898404,6509630,577748,5278842,5084889,1817539,473081,259918588,259918588
1994,603308,4260229,2494019,4245089,31484435,3724168,3316121,589239,717545,14239444,7157165,1187536,2850746,1145140,11912585,5793526,2580513,3849088,4347481,6095241,5023060,1242662,9597737,4610355,5324497,2688992,861306,7187398,644804,1639041,1142560,8014306,1682398,1499298,18459470,11152454,3280940,3121264,12166050,1015960,3705397,730790,5231438,18564062,1960446,6593139,583836,5375161,5133678,1820421,480283,263125821,263125821
1995,604412,4296800,2535399,4432499,31696582,3826653,3324144,580517,729734,14537875,7328413,1196854,2867373,1177322,12008437,5851459,2601007,3887427,4378779,6141445,5070033,1243480,9676211,4660180,5378247,2722659,876553,7344674,647832,1656992,1157561,8083242,1720394,1581578,18524104,11202751,3308208,3184369,12198403,1017002,3748582,737925,5326936,18958751,2014177,6670693,589002,5481027,5184836,1823700,485160,266278393,266278393
1996,608569,4331102,2572109,4586940,32018834,3919972,3336685,572377,740977,14853360,7501069,1203755,2880000,1203083,12101997,5906013,2614554,3919535,4398877,6179756,5111986,1249060,9758645,4712827,5431553,2748085,886254,7500670,650382,1673740,1174719,8149596,1752326,1666320,18588460,11242827,3340129,3247111,12220464,1020893,3796200,742213,5416643,19340342,2067976,6750884,593701,5569753,5229986,1822808,488167,269394284,269394284
1997,612968,4367935,2601090,4736990,32486010,4018293,3349348,567736,751487,15186304,7685099,1211640,2891119,1228520,12185715,5955267,2635292,3952747,4421071,6226058,5157328,1254774,9809051,4763390,5481193,2777004,889865,7656825,649716,1686418,1189425,8218808,1774839,1764104,18656546,11277357,3372917,3304310,12227814,1025353,3859696,744223,5499233,19740317,2119784,6829183,597239,5674747,5266213,1819113,489451,272646925,272646925
1998,619932,4404701,2626289,4883342,32987675,4116639,3365352,565230,763335,15486559,7863536,1215233,2902872,1252330,12271847,5998880,2660598,3985390,4440344,6271838,5204464,1259127,9847942,4813412,5521765,2804834,892431,7809121,647532,1695816,1205940,8287418,1793484,1853191,18755906,11311536,3405194,3352449,12245672,1031155,3919235,746058,5570045,20157531,2165960,6900918,600416,5769562,5297672,1815609,490787,275854104,275854104
1999,624779,4430141,2651860,5023823,33499204,4226018,3386401,570213,774990,15759421,8045965,1210300,2917634,1275674,12359020,6044969,2678338,4018053,4460811,6317345,5254509,1266808,9897116,4873481,5561948,2828408,897507,7949361,644259,1704764,1222014,8359592,1808082,1934718,18882725,11335454,3437147,3393941,12263805,1040402,3974682,750412,5638706,20558220,2203482,7000174,604683,5842564,5332666,1811799,491780,279040168,279040168
2000,626932,4447100,2673400,5130632,33871648,4301261,3405565,572059,783600,15982378,8186453,1211537,2926324,1293953,12419293,6080485,2688418,4041769,4468976,6349097,5296486,1274923,9938444,4919479,5595211,2844658,902195,8049313,642200,1711263,1235786,8414350,1819046,1998257,18976457,11353140,3450654,3421399,12281054,1048319,4012012,754844,5689283,20851820,2233169,7078515,608827,5894121,5363675,1808344,493782,281421906,281421906
2001,633714,4467634,2691571,5273477,34479458,4425687,3432835,574504,795699,16356966,8377038,1225948,2931997,1319962,12488445,6127760,2702162,4068132,4477875,6397634,5374691,1285692,9991120,4982796,5641142,2852994,906961,8210122,639062,1719836,1255517,8492671,1831690,2098399,19082838,11387404,3467100,3467937,12298970,1057142,4064995,757972,5750789,21319622,2283715,7198362,612223,5985722,5406835,1801481,494657,284968955,284968955
2002,642337,4480089,2705927,5396255,34871843,4490406,3458749,573158,806169,16689370,8508256,1239613,2934234,1340372,12525556,6155967,2713535,4089875,4497267,6417206,5440389,1295960,10015710,5018935,5674825,2858681,911667,8326201,638168,1728292,1269089,8552643,1855309,2173791,19137800,11407889,3489080,3513424,12331031,1065995,4107795,760020,5795918,21690325,2324815,7286873,615442,6052349,5445162,1805414,500017,287625193,287625193
2003,648414,4503491,2724816,5510364,35253159,4528732,3484336,568502,818003,17004085,8622793,1251154,2941999,1363380,12556006,6196638,2723004,4117170,4521042,6422565,5496269,1306513,10041152,5053572,5709403,2868312,919630,8422501,638817,1738643,1279840,8601402,1877574,2248850,19175939,11434788,3504892,3547376,12374658,1071342,4150297,763729,5847812,22030931,2360137,7366977,617858,6104115,5479203,1812295,503453,290107933,290107933
2004,659286,4530729,2749686,5652404,35574576,4575013,3496094,567754,830803,17415318,8769252,1273569,2953635,1391802,12589773,6233007,2734373,4146101,4552238,6412281,5546935,1313688,10055315,5087713,5747741,2889010,930009,8553152,644705,1749370,1290121,8634561,1903808,2346222,19171567,11452251,3525233,3569463,12410722,1074579,4210921,770396,5910809,22394023,2401580,7475575,619920,6178645,5514026,1816438,509106,292805298,292805298
2005,666946,4569805,2781097,5839077,35827943,4631888,3506956,567136,845150,17842038,8925922,1292729,2964454,1428241,12609903,6278616,2745299,4182742,4576628,6403290,5592379,1318787,10051137,5119598,5790300,2905943,940102,8705407,646089,1761497,1298492,8651974,1932274,2432143,19132610,11463320,3548597,3613202,12449990,1067916,4270150,775493,5991057,22778123,2457719,7577105,621215,6257305,5546166,1820492,514157,295516599,295516599
2006,675302,4628981,2821761,6029141,36021202,4720423,3517460,570681,859268,18166990,9155813,1309731,2982644,1468669,12643955,6332669,2762931,4219239,4302665,6410084,5627367,1323619,10036081,5163555,5842704,2904978,952692,8917270,649422,1772693,1308389,8661679,1962137,2522658,19104631,11481213,3594090,3670883,12510809,1063096,4357847,783033,6088766,23359580,2525507,7673725,622892,6370753,5577655,1827912,522667,298379912,298379912
2007,680300,4672840,2848650,6167681,36250311,4803868,3527270,574404,871749,18367842,9349988,1315675,2999212,1505105,12695866,6379599,2783785,4256672,4375581,6431559,5653408,1327040,10001284,5207203,5887612,2928350,964706,9118037,652822,1783440,1312540,8677885,1990070,2601072,19132335,11500468,3634349,3722417,12563937,1057315,4444110,791623,6175727,23831983,2597746,7751000,623481,6461587,5610775,1834052,534876,301231207,301231207
2008,687455,4718206,2874554,6280362,36604337,4889730,3545579,580236,883874,18527305,9504843,1332213,3016734,1534320,12747038,6424806,2808076,4289878,4435586,6468967,5684965,1330509,9946889,5247018,5923916,2947806,976415,9309449,657569,1796378,1315906,8711090,2010662,2653630,19212436,11515391,3668976,3768748,12612285,1055003,4528996,799124,6247411,24309039,2663029,7833496,624151,6562231,5640996,1840310,546043,304093966,304093966
2009,698895,4757938,2896843,6343154,36961229,4972195,3561807,592228,891730,18652644,9620846,1346717,3032870,1554439,12796778,6459325,2832704,4317074,4491648,6517613,5730388,1329590,9901591,5281203,5961088,2958774,983982,9449566,664968,1812683,1316102,8755602,2036802,2684665,19307066,11528896,3717572,3808600,12666858,1053646,4589872,807067,6306019,24801761,2723421,7925937,624817,6667426,5669264,1847775,559851,306771529,306771529
2010,710231,4779736,2915918,6392017,37253956,5029196,3574097,601723,897934,18801310,9687653,1360301,3046355,1567582,12830632,6483802,2853118,4339367,4533372,6547629,5773552,1328361,9883640,5303925,5988927,2967297,989415,9535483,672591,1826341,1316470,8791894,2059179,2700551,19378102,11536504,3751351,3831074,12702379,1052567,4625364,814180,6346105,25145561,2763885,8001024,625741,6724540,5686986,1852994,563626,308745538,308745538
2011,722259,4798649,2938640,6465488,37672654,5116411,3591927,620336,907884,19097369,9810595,1378323,3063690,1583180,12862298,6515358,2868756,4368505,4574388,6612178,5843115,1327968,9876199,5345967,6010280,2977452,996866,9662940,684830,1841641,1318345,8844694,2077744,2718170,19526372,11543332,3785232,3865845,12742811,1052154,4672744,823338,6396281,25644424,2815430,8107548,626210,6819155,5705812,1854891,567602,311644280,311644280
2012,730825,4813946,2949208,6544211,38019006,5186330,3597705,635630,916868,19341327,9911171,1392772,3074386,1594673,12878494,6535665,2885316,4383673,4602681,6659627,5891680,1328101,9886610,5377695,6023267,2982963,1003522,9755299,701380,1854862,1320923,8882095,2083590,2752410,19625409,11546969,3815298,3893920,12768034,1052761,4719009,832576,6450632,26078327,2854222,8188656,625606,6890899,5721075,1855360,576608,313993272,313993272
2013,736760,4827660,2956780,6616124,38347383,5262556,3602470,650114,925114,19584927,9981773,1408038,3089876,1610187,12890403,6567484,2892900,4399121,4626795,6711138,5932654,1327975,9899219,5416074,6041142,2987721,1011921,9849812,722908,1867414,1322622,8913735,2085161,2786547,19712514,11567845,3849840,3919664,12778450,1052784,4765862,842513,6490795,26479279,2899961,8261689,626044,6963410,5736673,1852333,582341,316234505,316234505
2014,736759,4840037,2964800,6706435,38701278,5342311,3600188,660797,934805,19897747,10083850,1417710,3105563,1630391,12882438,6593182,2899553,4410415,4648797,6757925,5970245,1328903,9914675,5452649,6058014,2988578,1019931,9941160,738658,1880920,1328684,8943010,2083207,2831730,19773580,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,8316902,625665,7046931,5751272,1847624,583334,318622525,318622525
2015,737979,4850858,2975626,6802262,39032444,5440445,3593862,672736,944107,20268567,10199533,1426320,3118473,1649324,12862051,6610596,2905789,4422057,4671211,6794002,6000561,1327787,9918170,5483238,6072640,2985297,1028317,10041769,754859,1893564,1330134,8960001,2082264,2883057,19819347,11606027,3904353,4016537,12791124,1055916,4892423,854036,6590726,27454880,2984917,8366767,624455,7152818,5759744,1839767,586102,321039839,321039839
2016,741522,4860545,2988231,6908642,39296476,5530105,3587685,684336,952698,20656589,10313620,1428683,3130869,1680026,12835726,6634007,2907731,4436113,4686157,6823721,6024752,1330232,9933445,5525050,6091176,2985415,1038656,10156689,755548,1907603,1335015,8978416,2085432,2939254,19836286,11622554,3921207,4085989,12787085,1057566,4959822,861542,6649404,27904862,3044321,8414380,623354,7280934,5772917,1828637,584910,323405935,323405935
2017,739795,4874747,3004279,7016270,39536653,5607154,3588184,693972,961939,20984400,10429379,1427538,3145711,1716943,12802023,6666818,2913123,4454189,4684333,6859819,6052177,1335907,9962311,5576606,6113532,2984100,1050493,10273419,755393,1920076,1342795,9005644,2088070,2998039,19849399,11658609,3930864,4142776,12805537,1059639,5024369,869666,6715984,28304596,3101833,8470020,623657,7405743,5795483,1815857,579315,325719178,325719178
