age,count_top5cit,total_inc_top5cit_p10,total_inc_top5cit_p20,total_inc_top5cit_p30,total_inc_top5cit_p40,total_inc_top5cit_p50,total_inc_top5cit_p60,total_inc_top5cit_p70,total_inc_top5cit_p80,total_inc_top5cit_p90,total_inc_top5cit_p99,total_inc_top5cit_mean,w2_inc_top5cit_p10,w2_inc_top5cit_p20,w2_inc_top5cit_p30,w2_inc_top5cit_p40,w2_inc_top5cit_p50,w2_inc_top5cit_p60,w2_inc_top5cit_p70,w2_inc_top5cit_p80,w2_inc_top5cit_p90,w2_inc_top5cit_p99,w2_inc_top5cit_mean,nw_inc_top5cit_p10,nw_inc_top5cit_p20,nw_inc_top5cit_p30,nw_inc_top5cit_p40,nw_inc_top5cit_p50,nw_inc_top5cit_p60,nw_inc_top5cit_p70,nw_inc_top5cit_p80,nw_inc_top5cit_p90,nw_inc_top5cit_p99,nw_inc_top5cit_mean
25,862,15600,33800,48600,59600,68100,76600,88000,106400,137500,804100,106000,14200,31700,47600,57500,66600,73700,85800,102200,128700,718300,94400,-3400,-1300,-200,0,100,400,1200,4400,15900,252000,11600
26,1067,23700,44700,57100,68000,78800,88900,103200,122900,149100,1056800,122700,22800,44700,56800,67800,76700,85900,98800,114500,138600,631100,98000,-3800,-1800,-400,0,100,500,1400,4100,16100,248100,24700
27,1266,28600,50900,65600,75900,85400,97500,112100,132500,172300,1653600,199300,24600,49700,65000,73500,82800,93900,108100,125200,155700,601000,109500,-4200,-1700,-200,0,200,700,2000,5600,24400,400500,89800
28,1448,38100,60300,71800,83000,93000,107400,122200,148300,200500,1672200,378100,32700,58000,70700,81200,90300,102500,116500,135500,170700,689800,186500,-4000,-1500,-100,0,500,1200,2800,8500,25100,986300,191600
29,1623,42000,64400,77600,91300,103800,118200,137500,164400,230900,2094400,258800,37400,62200,75700,87600,98300,112200,127200,146300,181700,1120200,139000,-4000,-1300,0,100,700,1800,4100,11300,40100,953500,119900
30,1834,50300,72200,87800,100700,113100,126900,148600,181900,261100,3350000,318800,42900,70000,83900,97100,108400,120800,137400,161800,216200,1155900,168400,-4600,-1400,0,300,1100,2400,5200,13400,46500,1358400,150500
31,1978,57100,79000,94700,107200,120600,138800,163000,202100,307600,3181600,258600,47200,75700,90100,103000,114900,129900,146300,174200,234000,1246200,161900,-4100,-1300,0,500,1400,3100,6600,16300,60100,2098200,96600
32,2075,64400,83800,100900,116400,133200,152000,174200,220900,367600,3357100,330400,60100,81200,96700,110000,125000,141700,159900,189600,271700,1682100,188600,-3800,-1400,0,500,1500,3100,7100,18400,61700,1952800,141800
33,2203,64300,89300,105000,121500,138900,160400,186800,239000,431800,4282200,357900,58900,84500,101300,114100,128700,146500,169500,202700,311000,1942400,215800,-3900,-1100,0,700,1800,3900,8900,23300,78700,2678000,142100
34,2346,69800,96700,114300,129100,147800,172800,202600,268600,459100,5441700,440800,59400,91600,107200,121400,134900,155300,179600,220600,335800,2548400,229800,-4700,-1200,100,900,2300,5300,11800,28000,90300,3158000,211000
35,2440,76800,103200,122200,141200,163200,188200,225500,298700,537200,5025000,506800,64900,94900,113200,129400,148700,168900,195800,243100,381900,2164700,241800,-5400,-1100,300,1300,3300,6700,14200,34400,129700,4291700,265000
36,2594,78800,106800,124800,145800,165700,190800,231500,305300,528900,5729200,498800,69000,98200,116700,133200,151200,170700,198600,247500,385700,2770000,266300,-5500,-900,300,1300,3400,7100,15000,36800,120900,4326200,232500
37,2660,86300,111800,132300,152200,175100,204800,247600,335900,628100,8133600,750700,65600,101000,119900,137600,155700,177800,208300,262400,397900,2896400,283600,-4100,-500,400,1800,3900,8200,17500,44300,149000,6264400,467200
38,2728,85500,114000,135000,157500,182200,213500,260100,361700,700600,11109500,1122200,67300,103000,122300,140600,162000,184900,215600,278000,463900,4072500,320600,-4200,-500,600,2100,4600,9300,19700,51900,185300,9902900,801600
39,2824,88900,117600,140700,163500,189000,223500,276600,386300,743800,11432400,1168800,67400,105300,125700,146200,167300,190100,225400,284900,463100,3960100,326100,-5700,-600,700,2300,4900,10400,22000,57500,222500,7578600,842700
40,2837,88400,120000,142500,166900,191300,225100,272400,387500,687400,10145700,901300,65800,107800,128500,148300,170500,195200,228300,284900,449600,2646100,303700,-4800,-500,700,2400,5300,11100,22600,59800,189600,7233000,597600
41,2928,90400,122800,146700,171800,199400,235400,292700,405800,780800,10140100,673600,71900,111200,133300,154300,176400,201900,235100,305700,497000,3193600,339300,-6200,-1000,400,2300,5400,11500,24400,67700,252600,6862800,334300
42,2911,88400,125100,148800,174300,204500,242500,305800,430400,915300,8690800,665600,71400,111300,134900,155200,178600,206400,243300,318300,499400,3145500,323200,-6400,-500,800,3000,6400,12800,27000,69500,272100,5912300,342400
43,2885,89900,124400,150900,177700,208700,243600,306100,438600,928000,12923000,785600,69000,110500,135100,157300,181900,208000,245400,318600,513300,4832200,380300,-7500,-700,700,3000,6800,13700,30200,78100,268800,6694300,405400
44,2852,90900,127900,153700,179100,208000,245400,310300,442400,946300,11704500,718100,66400,111800,135800,158800,180100,208900,246700,317900,536100,3574800,358300,-6000,-400,1000,3200,7100,15000,31300,81200,294000,8635500,359700
45,2794,90500,127300,154900,183800,215000,252000,319500,463600,969800,12523000,746400,60000,111700,136400,159200,184700,211000,248500,320100,523300,4432900,362100,-6600,-500,1100,3600,7600,16700,37100,89600,327700,9977900,384300
46,2729,87500,129000,156200,183100,216100,257100,326100,482400,1037300,13725900,1137100,64200,113200,139000,160600,186900,218900,259900,342600,581800,3574700,357600,-9200,-900,800,3100,7400,17300,37800,88200,293200,9501100,779500
47,2694,85800,128300,157100,185000,216600,257100,331600,466900,979100,10867500,697100,55100,109000,136800,161000,185600,215300,254700,341200,516100,4427400,369500,-9800,-900,1100,3800,8200,17200,36800,88100,329100,9344100,327600
48,2592,87900,129600,158400,184000,220900,263800,337800,494100,992200,10311300,780000,63800,114000,139400,162400,187100,218400,260800,339300,526700,3993400,344200,-8800,-500,1000,3900,8700,18400,41500,102000,333900,8529000,435800
49,2472,88900,132100,159100,185100,222700,270700,348200,524800,1095400,13028800,822900,56500,112800,139200,161900,186500,218400,259200,348200,558200,4349800,371200,-8500,-600,1300,4300,10300,20200,44900,112300,424100,9628600,451700
50,2349,97100,135000,160900,188300,222000,269300,347600,507000,1125000,14799800,823800,57400,111800,140000,162600,186600,216000,262800,336000,562700,3564200,360100,-8400,-200,1600,4700,10600,21900,46200,118200,412800,11850600,463600
51,2225,94700,133700,160300,188800,222600,265400,337100,505400,1100400,14927900,875900,49600,113600,139500,161100,185100,212800,255100,328400,540700,3481500,349100,-9100,-200,1500,5000,11100,21500,49000,116100,412600,13567000,526900
52,2072,92100,129000,156300,186000,224100,273100,349100,495500,1020000,18826100,942100,45200,111000,135300,160100,185000,217800,263000,340300,521400,3886300,361900,-10100,-200,1800,5100,11900,24800,50000,119100,397300,16841600,580200
53,1940,85800,130600,161800,188700,224500,275000,353700,542200,1317700,17845700,1026600,40300,107300,136200,159400,185700,217600,258600,330200,564200,5484800,382400,-9500,-200,1900,6000,13400,23900,49100,128100,496900,13908500,644200
54,1770,90600,129900,161100,190200,224500,273300,357300,536300,1235700,20291500,894800,44700,108600,135600,160000,186800,216300,255000,333000,509400,4151400,362500,-9900,-100,1800,5800,13900,27500,57500,142800,507600,13001000,532300
55,1711,81600,130800,161300,190000,220100,270700,357300,558300,1276700,22714000,1188100,34900,109400,136600,159200,186100,219600,261200,346500,559000,3746900,384300,-12400,-300,1900,6100,13000,28000,54400,131800,504900,17923000,803800
56,1534,70400,126800,155100,189700,228000,287000,369000,566600,1287200,15043200,936400,25600,99500,130700,153100,180000,210800,255800,336100,607800,4323600,364900,-9900,0,1900,7200,16700,33400,65300,143100,519200,11939800,571500
57,1443,64500,127200,155900,184600,221000,273400,344100,547600,1308400,13279400,1093200,28500,99100,130900,155000,177600,206500,252100,330300,602500,4781800,387300,-13400,0,2300,7600,15400,32200,65800,132100,518900,11920300,705900
58,1348,71800,125200,155800,187200,223600,276800,347800,550800,1392400,17469200,1037400,12600,90000,126700,149800,175700,203700,245600,324300,537800,3668200,385100,-9200,0,2900,9600,20000,38900,76200,179600,677700,12916000,652300
59,1244,66500,120600,155800,186400,223900,274800,369600,581200,1358200,16537300,932100,17700,85600,122800,148700,173700,207800,254300,343600,563100,4171600,362700,-10700,0,3300,10200,22900,44100,77500,165800,592400,14222300,569400
60,1126,64100,120900,151400,181100,227500,274000,357300,508800,1220600,19356900,1063900,15000,79400,118600,142800,165900,203200,239800,314100,502600,3272900,317200,-6800,200,3900,11400,25300,45400,85200,174300,563200,18223500,746700
61,1017,63600,114100,152900,190500,235900,286000,378400,602500,1297900,17695700,1112700,3300,62300,108100,140100,166500,203000,242500,305800,517000,3946800,347800,-8700,0,4300,14500,33700,63900,101600,207600,692400,14000400,765000
62,933,53100,108700,139500,170800,209200,258700,350300,562500,1303000,16911000,731700,8900,48500,96000,131100,157400,190200,231100,302000,529800,2164600,277700,-6400,800,6900,16100,34100,57200,97000,177300,645700,15928200,453900
63,841,44400,99200,130700,164800,203000,260700,342300,545900,1226000,21590600,815500,10700,33800,86400,120200,146700,176200,218000,285000,523600,2475700,275300,-12500,0,5500,17000,35000,59300,97700,173800,652300,16239600,540200
64,743,38600,95200,129200,167200,208100,266700,348800,502200,1035200,18617100,1060200,8600,31300,72300,116400,146100,178500,229300,301300,474600,1973700,237100,-6900,1300,8500,22500,41600,60500,105500,166800,472600,17625200,823200
65,638,42200,92600,131100,172400,217600,269500,360600,581300,1483700,13467600,822300,9900,27000,70500,108200,143400,177900,217000,297000,442000,2269900,243500,-5900,2300,14800,29900,48600,73300,116600,213300,688000,13209700,578800
66,554,48500,84900,120600,162100,207300,260700,340000,547400,1382800,23798800,990000,20200,28000,57800,103100,141300,181400,221500,284700,476500,3987600,318200,-3000,4500,17300,30400,46900,76900,112700,226700,537300,13936600,671800
67,460,49600,88400,128000,179300,221000,272000,374500,524900,1217700,37038100,1029300,23000,28900,56300,92800,138900,173900,220300,287300,539100,2560900,327600,-8700,2000,16200,31300,51600,83200,125200,210100,698600,21872800,701800
68,374,35600,87000,125200,172600,223800,289000,400800,548600,1349700,27030800,1532100,22300,28500,44500,83300,135700,181600,225500,298400,507000,2417700,277000,-5600,2200,17600,35000,61800,87000,130200,234300,636700,26807600,1255100
69,349,34000,83600,125700,170300,216100,302700,402000,573200,1623600,15770600,1023800,22100,26500,44500,81500,130400,168700,222300,285100,447400,2550700,241100,-5600,4500,19000,34900,59900,94900,151400,305100,1032000,15520200,782700
70,305,41900,89400,126800,169800,225300,276600,346300,524600,1344800,14510200,944900,21800,27300,37000,71100,115100,157100,195700,261300,395400,3769800,255200,-200,5200,25400,44400,67600,95300,150800,288200,1097400,14237300,689600
