close_year,close_month,close_day,open_year,open_month,open_day,days
,,,1853,4,5,
1853,12,27,,,,
,,,,,,
1855,12,18,1856,4,14,118
1856,12,6,1857,5,6,151
1857,11,25,1858,3,26,121
1858,12,8,1859,3,14,96
1859,12,7,1860,3,26,110
1860,12,14,1861,4,10,117
1861,12,2,1862,4,13,132
1862,12,26,1863,4,9,104
1863,12,18,1864,4,21,125
1864,12,8,1865,4,5,118
1865,12,14,1866,4,18,125
1866,12,18,1867,4,20,123
1867,12,12,1868,3,31,110
1868,12,10,1869,4,16,127
1869,12,2,1870,4,12,131
1870,12,24,1871,4,2,99
1871,12,19,1872,4,23,126
1872,11,30,1873,4,23,144
1873,11,29,1874,4,14,136
1874,12,10,1875,4,15,126
1876,1,10,1876,4,10,91
1876,12,8,1877,4,17,130
1878,1,6,1878,3,9,62
1878,12,21,1879,4,12,112
1879,12,17,1880,3,25,99
1880,11,23,1881,5,3,161
1882,1,2,1882,3,21,78
1882,12,10,1883,4,13,124
1883,12,18,1884,4,15,119
1884,12,17,1885,4,20,124
1885,12,12,1886,4,19,128
1886,12,5,1887,4,15,131
1887,12,24,1888,4,15,113
1889,1,2,1889,3,31,88
1890,1,14,1890,3,30,75
1890,12,26,1891,4,16,111
1891,12,27,1892,4,2,97
1892,12,16,1893,4,7,112
1893,12,4,1894,3,15,101
1894,12,28,1895,4,8,101
1896,1,5,1896,4,5,91
1896,12,21,1897,4,10,110
1897,12,17,1898,3,27,100
1898,12,9,1899,4,18,130
1899,12,27,1900,4,17,111
1900,12,25,1901,4,11,107
1901,12,15,1902,3,30,105
1902,12,25,1903,3,24,89
1903,12,13,1904,4,17,126
1904,12,14,1905,4,1,108
1906,1,1,1906,4,8,97
1906,12,20,1907,3,24,94
1908,1,1,1908,3,24,83
1908,12,22,1909,4,7,106
1909,12,18,1910,3,26,98
1910,12,9,1911,3,20,101
1911,12,28,1912,4,14,108
1912,12,24,1913,4,2,99
1914,1,12,1914,4,10,88
1914,12,16,1915,4,10,115
1915,12,28,1916,4,8,102
1916,12,16,1917,4,11,116
1917,12,11,1918,4,5,115
1919,1,3,1919,3,26,82
1919,12,9,1920,3,28,110
1920,12,25,1921,3,16,81
1921,12,25,1922,3,31,96
1922,12,16,1923,4,20,125
1924,1,1,1924,4,14,104
1924,12,19,1925,4,3,105
1925,12,16,1926,4,19,124
1926,12,6,1927,3,19,103
1927,12,17,1928,4,1,106
1928,12,21,1929,3,27,96
1929,12,3,1930,3,20,107
1930,12,16,1931,3,24,98
1932,1,30,1932,4,4,65
1932,12,10,1933,4,4,115
1933,12,25,1934,3,26,91
1934,12,24,1935,3,28,94
1935,12,20,1936,3,30,101
1936,12,7,1936,12,30,
1937,1,5,1937,4,13,121
1937,12,7,1938,3,22,105
1938,12,28,1939,4,4,97
1940,1,2,1940,4,16,105
1941,1,5,1941,4,11,96
1942,1,3,1942,3,26,82
1942,12,7,1943,4,2,116
1943,12,16,1944,4,8,114
1944,12,18,1945,3,20,92
1945,12,13,1946,3,21,98
1946,12,30,1947,4,10,101
1947,12,21,1948,4,3,104
1948,12,24,1949,3,30,96
1949,12,23,1950,4,11,109
1950,12,11,1951,4,12,122
1951,12,16,1952,4,8,114
1952,12,30,1953,3,21,81
1953,12,30,1954,3,25,85
1955,1,2,1955,4,4,92
1955,12,12,1956,4,4,114
1956,12,14,1957,4,4,111
1957,12,30,1958,4,4,95
1958,12,9,1959,4,14,126
1959,12,29,1960,4,12,105
1960,12,19,1961,4,6,108
1961,12,16,1962,4,12,117
1962,12,12,1963,4,3,112
1963,12,20,1964,4,11,113
1964,12,15,1965,4,14,120
1966,1,11,1966,3,17,65
1966,12,26,1967,4,3,98
1967,12,27,1968,3,27,91
1968,12,17,1968,12,19,
1968,12,25,1969,4,10,108
1969,12,16,1970,4,8,113
1970,12,24,1971,4,13,110
1972,1,5,1972,4,19,105
1972,12,7,1973,3,14,97
1973,12,21,1974,4,5,105
1975,1,2,1975,4,19,107
1975,12,27,1976,3,24,88
1976,12,3,1977,3,28,115
1977,12,7,1977,12,8,
1977,12,10,1978,4,11,123
1978,12,10,1978,12,13,
1978,12,25,1979,4,19,118
1979,12,29,1980,4,6,99
1980,12,20,1981,3,23,93
1981,12,28,1982,4,3,96
1983,1,13,1983,3,8,54
1983,12,19,1984,4,8,111
1984,12,25,1984,12,26,
1985,1,2,1985,3,27,85
1985,12,14,1986,3,31,107
1986,12,13,1987,3,12,89
1988,1,2,1988,3,29,87
1988,12,29,1989,4,5,97
1989,12,12,1990,3,15,93
1990,12,26,1991,3,24,88
1991,12,18,1992,3,26,99
1992,12,24,1993,4,11,108
1993,12,27,1994,3,31,94
1995,1,6,1995,3,21,74
1995,12,10,1996,4,7,119
1996,12,20,1997,4,1,102
1998,1,11,1998,2,27,47
1998,12,30,1999,3,21,82
2000,1,14,2000,3,7,53
2000,12,13,2001,4,7,115
2002,1,2,2002,1,12,
2002,3,4,2002,3,15,21
2003,1,4,2003,4,3,89
2004,1,7,2004,3,27,80
2004,12,25,2005,4,5,101
2005,12,19,2006,3,24,95
2007,1,20,2007,3,27,66
2007,12,26,2008,4,10,106
2008,12,16,2009,3,23,97
2009,12,29,2010,3,26,87
2010,12,15,2011,4,3,109
2012,1,14,2012,3,11,57
2013,1,14,2013,4,11,87
2013,12,16,2014,4,12,117
2015,1,2,2015,4,3,91
2016,1,11,2016,3,13,62
2017,1,1,2017,3,7,65
2017,12,27,2018,3,31,94
2018,12,15,,,,